datum,nummer,alter,geschlecht,geraeteart,fehlerbeschreibung,erfolgreich,
17.01.2015,378,,,Plattenspieler,Stecker defekt,ja,
17.01.2015,379,,,Filmprojektor,Lampenfassung defekt,nein,
17.01.2015,380,,,Radio,Drossel defekt,ja,
17.01.2015,381,,,Drucker,Sicherung defekt,ja,
17.01.2015,382,,,Staubsauger,,nein,
17.01.2015,383,,,Rassierer,Akku defekt,nein,
17.01.2015,384,,,Microwelle,wird aus sicherheit nicht repariert,nein,
17.01.2015,385,,,Microwelle,wird aus sicherheit nicht repariert,nein,
17.01.2015,386,,,PC,Kondensator,nein,
17.01.2015,387,,,Filmprojektor,riemen zu locker,ja,
17.01.2015,388,,,Radio,Uhrzeit stellt sich manchmal um,nein,
17.01.2015,389,,,CD-Spieler,,nein,
17.01.2015,390,,,Radio,Schalter defekt,ja,
17.01.2015,391,,,Kaffeemaschine,Erdschluss,nein,111
17.01.2015,392,,,Radio,Display defekt,ja,
17.01.2015,393,,,Staubsauger,Kabel defekt,ja,
17.01.2015,394,,,Nähmaschine,Fadenführung defekt,nein,111
17.01.2015,395,,,Kaffeemaschine,Heizelement defekt,nein,
17.01.2015,396,,,Deckenlampe,einzelne LEDs defekt,ja,
17.01.2015,397,,,Kaffeemaschine,Temperaturschalter defekt,ja,
17.01.2015,398,,,Eierkocher,Kabelbruch,ja,
17.01.2015,399,,,Wasserkocher,Schalter defekt,ja,
17.01.2015,400,,,Küchengerät,Schalter defekt,nein,
17.01.2015,401,,,Kaffeemaschine,Heizelement defekt,nein,
17.01.2015,402,,,Lampe,,nein,
17.01.2015,403,,,Tischleuchte,Fassung defekt,ja,
17.01.2015,404,,,Staubsauger,Schalter defekt,nein,
17.01.2015,405,,,Radio,Linse dreckig,ja,
17.01.2015,406,,,Kaffeevollautomat,Brühgruppe gereinigt,ja,
17.01.2015,407,,,Kassetten Spieler,Riemen defekt,ja,
17.01.2015,408,,,Laptop,Bootet nicht,ja,
17.01.2015,409,,,CD-Spieler,CD Verklemmt,ja,
17.01.2015,410,,,Fernsehr,Kein Bild,nein,
17.01.2015,411,,,CD-Spieler,schalter nicht wechselbar,nein,
17.01.2015,412,,,Lampe,Dimmer defekt,ja,
17.01.2015,413,,,DVD-Spieler,DVD Verklemmt,ja,
17.01.2015,414,,,LED Lampe,Touchplatine defekt,nein,
17.01.2015,415,,,Fahrrad,Bremse gerissen,ja,
17.01.2015,416,,,Laptop,Startet nicht,nein,
17.01.2015,417,,,CD-Spieler,Fach geht nicht auf,ja,
17.01.2015,418,,,Staubsauger,Katzenhaare entfernt,ja,
17.01.2015,419,,,Kaffeemaschine,Ovalschrauben konnten nicht geöffnet werden,nein,
17.01.2015,420,,,Laptop,Anleitung fehlt,ja,
17.01.2015,421,,,Steckerleiste,Schalter defekt,nein,
17.01.2015,422,,,E-Werkzeug,Schalter defekt,nein,
17.01.2015,423,,,Bildschirm,SNT Defekt,nein,
17.01.2015,424,,,CD-Spieler,,ja,
17.01.2015,425,,,DVD-Spieler,Kurzschluss,nein,
17.01.2015,426,,,Radio,Geht nicht,nein,
17.01.2015,427,,,Staubsauger,Motor defekt,nein,
17.01.2015,428,,,Rechenmaschiene,Antrieb defekt,nein,
17.01.2015,429,,,Zigaretten Spieluhr,auseinander gefallen,ja,
17.01.2015,430,,,Mercedes Schreiben,,ja,
17.01.2015,431,,,Lampe,Gleichrichter defekt,nein,
17.01.2015,432,,,Fernsehr,Hat Streifen,nein,
17.01.2015,433,,,Munddusche,Undicht,nein,
17.01.2015,434,,,TCM Datenbank,,nein,
17.01.2015,435,,,Drucker,Papierstau,nein,
17.01.2015,436,,,Kaffeemaschine,Wasserschaden,ja,
17.01.2015,437,,,Alarmanlage,Kurzschluss,nein,
21.03.2015,438,,,Videorekorder,Auswurf defekt,ja,
21.03.2015,439,,,Kaffeemaschine,Heizelement defekt,ja,
21.03.2015,440,,,Fernsehr,Kondensator,ja,
21.03.2015,441,,,Brotmaschine,,nein,
21.03.2015,442,,,Lampe,Transistor defekt,ja,
21.03.2015,443,,,Kinderspielzeug,Dauerton,ja,
21.03.2015,444,,,Lampe,Dimmer defekt,nein,
21.03.2015,445,,,CD-Spieler,Riemen,ja,
21.03.2015,446,,,Kaffeemaschine,Kalkprogramm beendet nicht,ja,
21.03.2015,447,,,Kassetten Spieler,Riemen,ja,
21.03.2015,448,,,Fernsehr,Farbe fehlt,nein,
21.03.2015,449,,,Föhn,Heizelement defekt,nein,
21.03.2015,450,,,Föhn,Kabel defekt,ja,
21.03.2015,451,,,Verstärker,Sicherung defekt,ja,
21.03.2015,452,,,Steuergerät,Schalter defekt,nein,
21.03.2015,453,,,Staubsauger,Kohlen abgenutzt,nein,
21.03.2015,454,,,Körperwage,Fehler nicht gefunden,nein,
21.03.2015,455,,,Kassetten Spieler,Riemen ,nein,
21.03.2015,456,,,Rassierer,Akku defekt,ja,
